art_id;author;pos
series/cogtech/Wahlster13;Wolfgang Wahlster;0
series/cogtech/NeidigP13;J?rg Neidig;0
series/cogtech/NeidigP13;J?rg Prei?inger;1
series/cogtech/BrandhermSNL13;Boris Brandherm;0
series/cogtech/BrandhermSNL13;Michael Schmitz;1
series/cogtech/BrandhermSNL13;Robert Ne?elrath;2
series/cogtech/BrandhermSNL13;Frank Lehmann;3
series/cogtech/Gebhard13;Patrick Gebhard;0
series/cogtech/FurnkranzGL12;Johannes F?rnkranz;0
series/cogtech/FurnkranzGL12;Dragan Gamberger;1
series/cogtech/FurnkranzGL12;Nada Lavrac;2
series/cogtech/Nugues14;Pierre M. Nugues;0
series/cogtech/NeidigGH13;J?rg Neidig;0
series/cogtech/NeidigGH13;Thomas Grosch;1
series/cogtech/NeidigGH13;Ulrike Heim;2
series/cogtech/KuckelhausMB13;Markus K?ckelhaus;0
series/cogtech/KuckelhausMB13;Carsten Magerkurth;1
series/cogtech/KuckelhausMB13;J?rg Baus;2
series/cogtech/SchmitzBNSS13;Michael Schmitz;0
series/cogtech/SchmitzBNSS13;Boris Brandherm;1
series/cogtech/SchmitzBNSS13;J?rg Neidig;2
series/cogtech/SchmitzBNSS13;Stefanie Schachtl;3
series/cogtech/SchmitzBNSS13;Matthias Schuster;4
series/cogtech/MeixnerKK13;Gerrit Meixner;0
series/cogtech/MeixnerKK13;Alexander Kr?ner;1
series/cogtech/MeixnerKK13;Gerrit Kahl;2
series/cogtech/HornCNKHH13;Sven Horn;0
series/cogtech/HornCNKHH13;Alexander Claus;1
series/cogtech/HornCNKHH13;J?rg Neidig;2
series/cogtech/HornCNKHH13;Bruno Kiesel;3
series/cogtech/HornCNKHH13;Thorbj?rn Hansen;4
series/cogtech/HornCNKHH13;Jens Haupert;5
series/cogtech/Gabbay13;Dov M. Gabbay;0
series/cogtech/SeisslerSSD13;Marc Sei?ler;0
series/cogtech/SeisslerSSD13;Peter Stephan;1
series/cogtech/SeisslerSSD13;Jochen Schlick;2
series/cogtech/SeisslerSSD13;Ines Dahmann;3
series/cogtech/KronerHFSKS13;Alexander Kr?ner;0
series/cogtech/KronerHFSKS13;Jens Haupert;1
series/cogtech/KronerHFSKS13;Jose de Gea Fernandez;2
series/cogtech/KronerHFSKS13;Rainer Steffen;3
series/cogtech/KronerHFSKS13;Christian Kleegrewe;4
series/cogtech/KronerHFSKS13;Martin Schneider;5
series/cogtech/HerzogK13;Gerd Herzog;0
series/cogtech/HerzogK13;Alexander Kr?ner;1
series/cogtech/LemburgMAFRK13;Johannes Lemburg;0
series/cogtech/LemburgMAFRK13;Dennis Mronga;1
series/cogtech/LemburgMAFRK13;Achint Aggarwal;2
series/cogtech/LemburgMAFRK13;Jose de Gea Fernandez;3
series/cogtech/LemburgMAFRK13;Marc Ronthaler;4
series/cogtech/LemburgMAFRK13;Frank Kirchner;5
series/cogtech/Helbig2006;Hermann Helbig;0
series/cogtech/Neidig13;J?rg Neidig;0
series/cogtech/Kaci11;Souhila Kaci;0
series/cogtech/Cervesato13;Iliano Cervesato;0
series/cogtech/ChoKSP13;Young-Jae Cho;0
series/cogtech/ChoKSP13;Florian Kuttig;1
series/cogtech/ChoKSP13;Markus Strassberger;2
series/cogtech/ChoKSP13;J?rg Prei?inger;3
series/cogtech/Nugues2006;Pierre Nugues;0
series/cogtech/StephanENRH13;Peter Stephan;0
series/cogtech/StephanENRH13;Markus Eich;1
series/cogtech/StephanENRH13;J?rg Neidig;2
series/cogtech/StephanENRH13;Martin Rosjat;3
series/cogtech/StephanENRH13;Roberto Hengst;4
series/cogtech/KieselN13;Bruno Kiesel;0
series/cogtech/KieselN13;J?rg Neidig;1
series/cogtech/Neidig13a;J?rg Neidig;0
series/cogtech/GarcezLG2009;Artur S. d'Avila Garcez;0
series/cogtech/GarcezLG2009;Lu?s C. Lamb;1
series/cogtech/GarcezLG2009;Dov M. Gabbay;2
series/cogtech/GabbayS11;Dov M. Gabbay;0
series/cogtech/GabbayS11;Karl Schlechta;1
series/cogtech/KahlMPGW13;Gerrit Kahl;0
series/cogtech/KahlMPGW13;Carsten Magerkurth;1
series/cogtech/KahlMPGW13;J?rg Prei?inger;2
series/cogtech/KahlMPGW13;Patrick Gebhard;3
series/cogtech/KahlMPGW13;Benjamin Weyl;4
series/cogtech/Zivny12;Stanislav Zivny;0
series/cogtech/HornSPH13;Sven Horn;0
series/cogtech/HornSPH13;Barbara Schennerlein;1
series/cogtech/HornSPH13;Anne Pf?rtner;2
series/cogtech/HornSPH13;Thorbj?rn Hansen;3
series/cogtech/ChoP13;Young-Jae Cho;0
series/cogtech/ChoP13;J?rg Prei?inger;1
series/cogtech/He12;Jingrui He;0
series/cogtech/Haupert013;Jens Haupert;0
