art_id;type;year;title;pages_start;pages_end;booktitle;journal_series;journal_editor;journal_volume;journal_isbn;url
series/cogtech/Wahlster13;Article;2013;The Semantic Product Memory: An Interactive Black Box for Smart Objects.;3;21;SemProM;;;;;db/series/cogtech/364237376.html#Wahlster13
series/cogtech/NeidigP13;Article;2013;A SemProM Use Case: Maintenance of Factory and Automotive Components.;363;380;SemProM;;;;;db/series/cogtech/364237376.html#NeidigP13
series/cogtech/BrandhermSNL13;Article;2013;A SemProM Use Case: Health Care and Compliance.;349;361;SemProM;;;;;db/series/cogtech/364237376.html#BrandhermSNL13
series/cogtech/Gebhard13;Article;2013;Controlling Interaction with Digital Product Memories.;243;259;SemProM;;;;;db/series/cogtech/364237376.html#Gebhard13
series/cogtech/NeidigGH13;Article;2013;The Smart SemProM.;73;89;SemProM;;;;;db/series/cogtech/364237376.html#NeidigGH13
series/cogtech/KuckelhausMB13;Article;2013;A SemProM Use Case: Tracking & Tracing for Green Logistics and Integrity Control.;311;327;SemProM;;;;;db/series/cogtech/364237376.html#KuckelhausMB13
series/cogtech/SchmitzBNSS13;Article;2013;Interaction Modalities for Digital Product Memories.;261;279;SemProM;;;;;db/series/cogtech/364237376.html#SchmitzBNSS13
series/cogtech/MeixnerKK13;Article;2013;A Summary of End-User Feedback on Digital Product Memories.;381;400;SemProM;;;;;db/series/cogtech/364237376.html#MeixnerKK13
series/cogtech/HornCNKHH13;Article;2013;The SemProM Data Format.;127;148;SemProM;;;;;db/series/cogtech/364237376.html#HornCNKHH13
series/cogtech/SeisslerSSD13;Article;2013;DPM Mapper: A Concept to Bridge the Gap Between XML-Based Digital Product Memories and Their Binary Representation.;149;161;SemProM;;;;;db/series/cogtech/364237376.html#SeisslerSSD13
series/cogtech/KronerHFSKS13;Article;2013;Supporting Interaction with Digital Product Memories.;223;242;SemProM;;;;;db/series/cogtech/364237376.html#KronerHFSKS13
series/cogtech/HerzogK13;Article;2013;Towards an Integrated Framework for Semantic Product Memories.;39;55;SemProM;;;;;db/series/cogtech/364237376.html#HerzogK13
series/cogtech/LemburgMAFRK13;Article;2013;A Robotic Platform for Building and Exploiting Digital Product Memories.;91;106;SemProM;;;;;db/series/cogtech/364237376.html#LemburgMAFRK13
series/cogtech/Neidig13;Article;2013;Hardware Requirements for Digital Product Memories.;59;72;SemProM;;;;;db/series/cogtech/364237376.html#Neidig13
series/cogtech/ChoKSP13;Article;2013;A Digital Product Memory Architecture for Cars.;163;174;SemProM;;;;;db/series/cogtech/364237376.html#ChoKSP13
series/cogtech/StephanENRH13;Article;2013;Applying Digital Product Memories in Industrial Production.;283;304;SemProM;;;;;db/series/cogtech/364237376.html#StephanENRH13
series/cogtech/KieselN13;Article;2013;The Block Interface: Accessing Digital Product Memories.;191;203;SemProM;;;;;db/series/cogtech/364237376.html#KieselN13
series/cogtech/Neidig13a;Article;2013;Using Basic RFID-Based Digital Product Memories for Protection against Counterfeit Goods in Manufacturing Plants.;305;310;SemProM;;;;;db/series/cogtech/364237376.html#Neidig13a
series/cogtech/KahlMPGW13;Article;2013;Enhancement of Consumer Support in Retail Scenarios by Utilization of Semantic Product Memories.;329;347;SemProM;;;;;db/series/cogtech/364237376.html#KahlMPGW13
series/cogtech/HornSPH13;Article;2013;Distributed Digital Product Memories.;205;219;SemProM;;;;;db/series/cogtech/364237376.html#HornSPH13
series/cogtech/ChoP13;Article;2013;Capturing Sensor Data in the SemProM Automotive Scenario.;107;123;SemProM;;;;;db/series/cogtech/364237376.html#ChoP13
series/cogtech/Haupert013;Article;2013;The Object Memory Server for Semantic Product Memories.;175;189;SemProM;;;;;db/series/cogtech/364237376.html#Haupert013
series/cogtech/Blocher13;Article;2013;SemProM - Dissemination and Impact.;23;37;SemProM;;;;;db/series/cogtech/364237376.html#Blocher13
series/class/HeiserD13;Article;2013;Clustering and Prediction of Rankings Within a Kemeny Distance Framework.;19;31;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#HeiserD13
series/class/FontanellaFI13;Article;2013;Supervised Classification of Facial Expressions.;123;130;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#FontanellaFI13
